Código Inmueble	Tipo Propiedad	Calle	Número	Antigüedad	Superficie Total	Habitaciones	Precio Venta	Precio Alquiler	DNI Dueño	Estado
1001	1	Av. Libertador	1234	5	120.5	3	150000	50000	30123456	1
1002	2	Calle Mitre	5678	10	80.0	2	100000	35000	30234567	1
1003	1	Boulevard San Martín	910	3	150.2	4	180000	60000	30345678	1
1004	3	Pasaje Las Flores	1213	8	90.5	3	120000	40000	30456789	1
1005	2	Avenida Rivadavia	1415	15	60.3	2	80000	30000	30567890	1
1006	1	Callejón del Sauce	1617	2	110.8	3	140000	45000	30678901	1
1007	3	Plaza Central	1819	12	70.0	2	95000	32000	30789012	1
1008	2	Camino Real	2021	6	130.4	4	170000	55000	30890123	1
1009	1	Sendero Verde	2223	9	100.7	3	130000	42000	30901234	1
1010	3	Paseo del Bosque	2425	4	140.6	4	160000	53000	31012345	1
	
